Name,Address,Phone,Reviews,Ratting,Category,Image,Website,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Description,Others,Company-Link,Search Keywords,Emails,,,,,,,,
1800,,,,,Postal code,,,,,,,,,,,,https://www.google.com/maps/place/1800/data=!4m7!3m6!1s0x47c3e7ff6402196f:0xb39ba57522ce0d88!8m2!3d50.9377435!4d4.4605278!16s%2Fm%2F0j1cl1h!19sChIJbxkCZP_nw0cRiA3OInWlm7M?authuser=0&hl=en&rclk=1,,,,,,,,,,
Melsbroek,,,,,,https://lh5.googleusercontent.com/p/AF1QipNE-gPdp3W-6s9yznFNAKq4xTfM8gb2mThkxait=w408-h306-k-no,,,,,,,,,,,https://www.google.com/maps/place/Melsbroek/data=!4m7!3m6!1s0x47c3dd9b23c2a71b:0x13d3c1a45898c57!8m2!3d50.91535!4d4.4787175!16s%2Fg%2F122l892_!19sChIJG6fCI5vdw0cRV4yJRRo8PQE?authuser=0&hl=en&rclk=1,,,,,,,,,,
1830 Machelen,,,,,Postal code,https://lh5.googleusercontent.com/p/AF1QipPCPWY65tLge6KE8TvUKT1ttUPASmfGL-z3NBNs=w408-h306-k-no,,,,,,,,,,,https://www.google.com/maps/place/1830+Machelen/data=!4m7!3m6!1s0x47c3dd4b57146871:0xb665b5621a17f782!8m2!3d50.9125185!4d4.4376749!16s%2Fm%2F0j1d3sf!19sChIJcWgUV0vdw0cRgvcXGmK1ZbY?authuser=0&hl=en&rclk=1,,,,,,,,,,
ACT Haren,"Address: Rue de la Grenouillette 25, 1130 Bruxelles, Belgium ",+32 2 726 91 52,"1,511 reviews",3.8,Car inspection station,https://lh5.googleusercontent.com/p/AF1QipMQpOKIu79DOyLrd5uChJoGVXZiNxsKk55JZ_rz=w426-h240-k-no,autocontrole.be,7am to 5pm,closed,closed. hide opening hours for the week,7am to 5pm,7am to 5pm,7am to 5pm,7am to 7pm,,,https://www.google.com/maps/place/ACT+Haren/data=!4m7!3m6!1s0x47c3dcd45f42e115:0xb4f9ae385a66630f!8m2!3d50.8847115!4d4.4176963!16s%2Fg%2F1tmg5qd4!19sChIJFeFCX9Tcw0cRD2NmWjiu-bQ?authuser=0&hl=en&rclk=1,,autokeuring@autocontrole.be,info@autocontrole.be,examencentrum@autocontrole.be,,,,,,
Auto Control Technique,"Address: Rue Colonel Bourg 118, 1140 Bruxelles, Belgium ",+32 2 726 91 52,"2,935 reviews",3.6,Car inspection station,https://lh5.googleusercontent.com/p/AF1QipPaDA1NzMcfsG-cvstFFXGIZXugV_83yBb0ENZ3=w408-h306-k-no,autocontrole.be,7am to 5pm,closed,closed. hide opening hours for the week,7am to 5pm,7am to 5pm,7am to 5pm,7am to 5pm,,,https://www.google.com/maps/place/Auto+Control+Technique/data=!4m7!3m6!1s0x47c3dcadaa18363d:0x298ef8f20e730599!8m2!3d50.8540153!4d4.412004!16s%2Fg%2F1tyzy4jn!19sChIJPTYYqq3cw0cRmQVzDvL4jik?authuser=0&hl=en&rclk=1,,autokeuring@autocontrole.be,info@autocontrole.be,examencentrum@autocontrole.be,,,,,,
Londerzeel,,,,,,https://lh5.googleusercontent.com/p/AF1QipMjtjDwAa5IXJDMCYaOVJybhvLOThgrTC2xhq83=w408-h306-k-no,,,,,,,,,,,https://www.google.com/maps/place/Londerzeel/data=!4m7!3m6!1s0x47c3eb79f32ce4d1:0x40099ab2f4d5750!8m2!3d51.0047008!4d4.3025851!16zL20vMDE0cW05!19sChIJ0eQs83nrw0cRUFdNL6uZAAQ?authuser=0&hl=en&rclk=1,,,,,,,,,,
Malderen,,,,,,https://lh5.googleusercontent.com/p/AF1QipM0M50wW0ZuI277y8iWDH9W1DHhUwBpUuRtrNMk=w408-h306-k-no,,,,,,,,,,,https://www.google.com/maps/place/Malderen/data=!4m7!3m6!1s0x47c3eca9a6823569:0x5f0d2eb86670685b!8m2!3d51.02033!4d4.24629!16s%2Fm%2F04g6x7c!19sChIJaTWCpqnsw0cRW2hwZrguDV8?authuser=0&hl=en&rclk=1,,,,,,,,,,
Steenhuffel,,,,,,https://lh5.googleusercontent.com/p/AF1QipN_QsonS3rer_SQ-kxTAWezBE6Y9aeGToBxlDaR=w408-h305-k-no,,,,,,,,,,,https://www.google.com/maps/place/Steenhuffel/data=!4m7!3m6!1s0x47c3eb12d8661e25:0xd713ca2412f3d145!8m2!3d50.99577!4d4.26716!16s%2Fg%2F1223wsx9!19sChIJJR5m2BLrw0cRRdHzEiTKE9c?authuser=0&hl=en&rclk=1,,,,,,,,,,
Dgp Inspections Bvba,"Address: Esdoornlaan 12, 1850 Grimbergen, Belgium ",+32 478 70 97 44,,,Home inspector,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EnJ7dHlq6a5WgmI6UdJBWA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=59.12086&pitch=0&thumbfov=100,dgpinspections.be,,,,,,,,,,https://www.google.com/maps/place/Dgp+Inspections+Bvba/data=!4m7!3m6!1s0x47c3c299ea7300c5:0x22776136bb29399b!8m2!3d50.9207634!4d4.3903099!16s%2Fg%2F1pxwnyj40!19sChIJxQBz6pnCw0cRmzkpuzZhdyI?authuser=0&hl=en&rclk=1,,dgp.inspections@telenet.be,,,,,,,,
Asbestis - Asbestattest Grimbergen,"Address: Spaanse Lindebaan 115, 1850 Grimbergen, Belgium ",+32 2 883 27 22,3 reviews,5,Asbestos testing service,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mpeF_tm7_KhwsW82uV28hQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=119.395935&pitch=0&thumbfov=100,asbestis.be,8:30am to 7pm,closed,closed. hide opening hours for the week,8:30am to 7pm,8:30am to 7pm,8:30am to 7pm,8:30am to 7pm,,,https://www.google.com/maps/place/Asbestis+-+Asbestattest+Grimbergen/data=!4m7!3m6!1s0x87cbfec7ebbcd837:0x6c59e387dd16fff5!8m2!3d50.9248556!4d4.3746284!16s%2Fg%2F11v17ksb8j!19sChIJN9i868f-y4cR9f8W3YfjWWw?authuser=0&hl=en&rclk=1,,info@asbestis.be,,,,,,,,
Humbeek,,,,,,https://lh5.googleusercontent.com/p/AF1QipMSNgeytGXmxajT6u9OoX8GHsRRYaSOhygDQ9lB=w426-h240-k-no,,,,,,,,,,,https://www.google.com/maps/place/Humbeek/data=!4m7!3m6!1s0x47c3e9001b86fcd1:0xfb7194ec5f6abeb4!8m2!3d50.9672327!4d4.3795118!16s%2Fg%2F120kh77x!19sChIJ0fyGGwDpw0cRtL5qX-yUcfs?authuser=0&hl=en&rclk=1,,,,,,,,,,
Beigem,,,,,,,,,,,,,,,,,https://www.google.com/maps/place/Beigem/data=!4m7!3m6!1s0x47c3e9b735a440c3:0xe031f0bb93fcd133!8m2!3d50.9528364!4d4.3660653!16s%2Fg%2F1231gfll!19sChIJw0CkNbfpw0cRM9H8k7vwMeA?authuser=0&hl=en&rclk=1,,,,,,,,,,
Dgp Inspections Bvba,"Address: Esdoornlaan 12, 1850 Grimbergen, Belgium ",+32 478 70 97 44,,,Home inspector,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EnJ7dHlq6a5WgmI6UdJBWA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=59.12086&pitch=0&thumbfov=100,dgpinspections.be,,,,,,,,,,https://www.google.com/maps/place/Dgp+Inspections+Bvba/data=!4m7!3m6!1s0x47c3c299ea7300c5:0x22776136bb29399b!8m2!3d50.9207634!4d4.3903099!16s%2Fg%2F1pxwnyj40!19sChIJxQBz6pnCw0cRmzkpuzZhdyI?authuser=0&hl=en&rclk=1,,dgp.inspections@telenet.be,,,,,,,,
Asbestis - Asbestattest Grimbergen,"Address: Spaanse Lindebaan 115, 1850 Grimbergen, Belgium ",+32 2 883 27 22,3 reviews,5,Asbestos testing service,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mpeF_tm7_KhwsW82uV28hQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=119.395935&pitch=0&thumbfov=100,asbestis.be,8:30am to 7pm,closed,closed. hide opening hours for the week,8:30am to 7pm,8:30am to 7pm,8:30am to 7pm,8:30am to 7pm,,,https://www.google.com/maps/place/Asbestis+-+Asbestattest+Grimbergen/data=!4m7!3m6!1s0x87cbfec7ebbcd837:0x6c59e387dd16fff5!8m2!3d50.9248556!4d4.3746284!16s%2Fg%2F11v17ksb8j!19sChIJN9i868f-y4cR9f8W3YfjWWw?authuser=0&hl=en&rclk=1,,info@asbestis.be,,,,,,,,
Huishoudhulp Strombeek-Bever,"Address: Gemeenteplein 6, 1853 Grimbergen, Belgium ",+32 2 270 06 04,24 reviews,3.6,Home help service agency,https://lh5.googleusercontent.com/p/AF1QipO82QzoKMPzs_Qei0cISCc7A1fdfOxG3KeeEgf7=w408-h272-k-no,agences.xlg.eu,1 to 3pm,closed,closed. hide opening hours for the week,1 to 5pm,closed,1 to 5pm,1 to 5pm,,,https://www.google.com/maps/place/Huishoudhulp+Strombeek-Bever/data=!4m7!3m6!1s0x47c3c28bacfd9731:0x1ef38862f0baf58f!8m2!3d50.9075552!4d4.352116!16s%2Fg%2F1q62g1gzj!19sChIJMZf9rIvCw0cRj_W68GKI8x4?authuser=0&hl=en&rclk=1,,info@xlg.eu,,,,,,,,
Wolvertem,,,,,,https://lh5.googleusercontent.com/p/AF1QipODljNO8S8jZEmTYltXYBXKHS7r4b0QORtdARKJ=w408-h839-k-no,,,,,,,,,,,https://www.google.com/maps/place/Wolvertem/data=!4m7!3m6!1s0x47c3ea16c52c624d:0x71c07a5a2bdf067d!8m2!3d50.95088!4d4.30927!16s%2Fg%2F122j3myx!19sChIJTWIsxRbqw0cRfQbfK1p6wHE?authuser=0&hl=en&rclk=1,,,,,,,,,,
Dgp Inspections Bvba,"Address: David Teniersstraat 2, 1880 Kapelle-op-den-Bos, Belgium ",+32 478 70 97 44,1 review,5,Sanitary inspection,https://lh5.googleusercontent.com/p/AF1QipMkcuBhDDfw2LHf4NNY_NRXT-PtxhuzIo9UUX89=w408-h306-k-no,dgpinspections.be,,,,,,,,,,https://www.google.com/maps/place/Dgp+Inspections+Bvba/data=!4m7!3m6!1s0x47c3e93a2e0451a3:0x8face2f8b1f814b5!8m2!3d51.0018479!4d4.3642993!16s%2Fg%2F11g6vgnlsf!19sChIJo1EELjrpw0cRtRT4sfjirI8?authuser=0&hl=en&rclk=1,,dgp.inspections@telenet.be,,,,,,,,
Plaatselijk Werkgelegenheidsagentschap van Kapelle-op-den-Bos VZW,"Address: Mechelseweg 265, 1880 Kapelle-op-den-Bos, Belgium ",+32 15 71 32 71,,,Recruitment Agency,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BaXM_GcwytxM9c8ynWZQ1w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=322.24725&pitch=0&thumbfov=100,,,,,,,,,,,https://www.google.com/maps/place/Plaatselijk+Werkgelegenheidsagentschap+van+Kapelle-op-den-Bos+VZW/data=!4m7!3m6!1s0x47c3e934fe572443:0x2f1917b69ad28d7f!8m2!3d51.012197!4d4.3623715!16s%2Fg%2F1pxwdlp4t!19sChIJQyRX_jTpw0cRf43SmrYXGS8?authuser=0&hl=en&rclk=1,,,,,,,,,,
Risk & Home Protect cvba,"Address: Spenaardstraat 64, 1880 Kapelle-op-den-Bos, Belgium ",+32 475 41 81 86,12 reviews,4.3,Asbestos testing service,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yxxTvSIlEzjSP2loU_7rvw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=279.3951&pitch=0&thumbfov=100,,,,,,,,,,,https://www.google.com/maps/place/Risk+%26+Home+Protect+cvba/data=!4m7!3m6!1s0x47c3e9a2de998d2b:0x989d4169035c9aba!8m2!3d50.9920062!4d4.3724884!16s%2Fg%2F11kgqftmqk!19sChIJK42Z3qLpw0cRuppcA2lBnZg?authuser=0&hl=en&rclk=1,,,,,,,,,,
1910 Kampenhout,,,,,Postal code,https://lh5.googleusercontent.com/p/AF1QipOPYzI_w9oo4bk56wppmJLdh_hb_BOGN5s4x4D6=w493-h240-k-no,,,,,,,,,,,https://www.google.com/maps/place/1910+Kampenhout/data=!4m7!3m6!1s0x47c15dc08f1d2afd:0xb35822cf0e00adf3!8m2!3d50.9338827!4d4.5605498!16s%2Fm%2F0j1dyl3!19sChIJ_Sodj8BdwUcR860ADs8iWLM?authuser=0&hl=en&rclk=1,,,,,,,,,,
Nederokkerzeel,,,,,,https://lh5.googleusercontent.com/p/AF1QipN55n8VvJuVn-e60KB4xvAgrBhK2sO_8GxgyJ1_=w408-h408-k-no,,,,,,,,,,,https://www.google.com/maps/place/Nederokkerzeel/data=!4m7!3m6!1s0x47c3de26f70206c9:0x3c4a7924409dae7a!8m2!3d50.9220293!4d4.5633381!16s%2Fg%2F122z_qbl!19sChIJyQYC9ybew0cReq6dQCR5Sjw?authuser=0&hl=en&rclk=1,,,,,,,,,,
1930 Zaventem,,,,,Postal code,https://lh5.googleusercontent.com/p/AF1QipNWdACgTlt0Vxmy9koZhuM1Enma9ZAQ5ZZXd6xY=w408-h544-k-no,,,,,,,,,,,https://www.google.com/maps/place/1930+Zaventem/data=!4m7!3m6!1s0x47c3a311904031e5:0x38fe98e38074b100!8m2!3d50.8795024!4d4.4826212!16s%2Fm%2F0j1c597!19sChIJ5TFAkBGjw0cRALF0gOOY_jg?authuser=0&hl=en&rclk=1,,,,,,,,,,
Nossegem,,,,,,https://lh5.googleusercontent.com/p/AF1QipN2k1x2wuE7-XyWnbkH_6PU7xf7k5ZAFAVZQ7tC=w408-h306-k-no,,,,,,,,,,,https://www.google.com/maps/place/Nossegem/data=!4m7!3m6!1s0x47c3dc2b7f0eb0c3:0x2908b3dd59eaddb3!8m2!3d50.8781921!4d4.5074739!16s%2Fm%2F05sxmdx!19sChIJw7AOfyvcw0cRs93qWd2zCCk?authuser=0&hl=en&rclk=1,,,,,,,,,,
Auto Control Technique,"Address: Rue Colonel Bourg 118, 1140 Bruxelles, Belgium ",+32 2 726 91 52,"2,935 reviews",3.6,Car inspection station,https://lh5.googleusercontent.com/p/AF1QipPaDA1NzMcfsG-cvstFFXGIZXugV_83yBb0ENZ3=w408-h306-k-no,autocontrole.be,7am to 5pm,closed,closed. hide opening hours for the week,7am to 5pm,7am to 5pm,7am to 5pm,7am to 5pm,,,https://www.google.com/maps/place/Auto+Control+Technique/data=!4m7!3m6!1s0x47c3dcadaa18363d:0x298ef8f20e730599!8m2!3d50.8540153!4d4.412004!16s%2Fg%2F1tyzy4jn!19sChIJPTYYqq3cw0cRmQVzDvL4jik?authuser=0&hl=en&rclk=1,,autokeuring@autocontrole.be,info@autocontrole.be,examencentrum@autocontrole.be,,,,,,
Telservice (R En C),"Address: Lenneke Marelaan 6, 3e verdiep, 1932, Belgium ",+32 2 745 47 47,3 reviews,4.3,Telecommunications contractor,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lv8LTqerT3WJ9XSbhLSkag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=298.7182&pitch=0&thumbfov=100,telservice.be,9am to 5pm,closed,closed. hide opening hours for the week,9am to 5pm,9am to 5pm,9am to 5pm,9am to 5pm,,,https://www.google.com/maps/place/Telservice+%28R+En+C%29/data=!4m7!3m6!1s0x47c3dcbac7a655c5:0xa2fc8e28c57fa3cb!8m2!3d50.8554219!4d4.4486505!16s%2Fg%2F1tfss153!19sChIJxVWmx7rcw0cRy6N_xSiO_KI?authuser=0&hl=en&rclk=1,,office@telservice.be,,,,,,,,
ACT Haren,"Address: Rue de la Grenouillette 25, 1130 Bruxelles, Belgium ",+32 2 726 91 52,"1,511 reviews",3.8,Car inspection station,https://lh5.googleusercontent.com/p/AF1QipMQpOKIu79DOyLrd5uChJoGVXZiNxsKk55JZ_rz=w426-h240-k-no,autocontrole.be,7am to 5pm,closed,closed. hide opening hours for the week,7am to 5pm,7am to 5pm,7am to 5pm,7am to 7pm,,,https://www.google.com/maps/place/ACT+Haren/data=!4m7!3m6!1s0x47c3dcd45f42e115:0xb4f9ae385a66630f!8m2!3d50.8847115!4d4.4176963!16s%2Fg%2F1tmg5qd4!19sChIJFeFCX9Tcw0cRD2NmWjiu-bQ?authuser=0&hl=en&rclk=1,,autokeuring@autocontrole.be,info@autocontrole.be,examencentrum@autocontrole.be,,,,,,
Sterrebeek,,,,,,https://lh5.googleusercontent.com/p/AF1QipM-yNuX3w_Fq7bKGrfSYx0md7n3FyGKRvm8TX_P=w408-h306-k-no,,,,,,,,,,,https://www.google.com/maps/place/Sterrebeek/data=!4m7!3m6!1s0x47c3dc18c1dad789:0xe0cde7c7dfc686f7!8m2!3d50.8654294!4d4.47262!16zL20vMGIzcXZk!19sChIJidfawRjcw0cR94bG38fnzeA?authuser=0&hl=en&rclk=1,,,,,,,,,,
1950 Kraainem,,,,,Postal code,,,,,,,,,,,,https://www.google.com/maps/place/1950+Kraainem/data=!4m7!3m6!1s0x47c3db8824f2cbf1:0x1581c6eddcfde680!8m2!3d50.851357!4d4.4687138!16s%2Fm%2F0j1djr3!19sChIJ8cvyJIjbw0cRgOb93O3GgRU?authuser=0&hl=en&rclk=1,,,,,,,,,,
1970 Wezembeek-Oppem,,,,,Postal code,,,,,,,,,,,,https://www.google.com/maps/place/1970+Wezembeek-Oppem/data=!4m7!3m6!1s0x47c3dc77facd6c17:0xef95b08f2d1a92e3!8m2!3d50.8479299!4d4.4901061!16s%2Fm%2F0j1c660!19sChIJF2zN-nfcw0cR45IaLY-wle8?authuser=0&hl=en&rclk=1,,,,,,,,,,
Zemst,,,,,,https://lh5.googleusercontent.com/p/AF1QipPUU9Oq0TGOlZSu2JAOc--ZKVBcT9x4ZdMhASDr=w408-h306-k-no,,,,,,,,,,,https://www.google.com/maps/place/Zemst/data=!4m7!3m6!1s0x47c3e637236bf875:0x40099ab2f4d5ff0!8m2!3d50.9801617!4d4.4599908!16zL20vMDE0cXRn!19sChIJdfhrIzfmw0cR8F9NL6uZAAQ?authuser=0&hl=en&rclk=1,,,,,,,,,,
Eppegem,,,,,,https://lh5.googleusercontent.com/p/AF1QipOmTCu0A3D-l7XKKO_7PzIR8uIYxXu7aK2fN44F=w408-h272-k-no,,,,,,,,,,,https://www.google.com/maps/place/Eppegem/data=!4m7!3m6!1s0x47c3e7cec863e1e3:0xaf66e38ef44bf84a!8m2!3d50.9621231!4d4.4544329!16s%2Fm%2F04g824j!19sChIJ4-FjyM7nw0cRSvhL9I7jZq8?authuser=0&hl=en&rclk=1,,,,,,,,,,
Hofstade,,,,,,https://lh5.googleusercontent.com/p/AF1QipPdB847xtWpsEoFveRF9I2lOgv596WG2Qrc96Sw=w408-h306-k-no,,,,,,,,,,,https://www.google.com/maps/place/Hofstade/data=!4m7!3m6!1s0x47c3e696ab49d061:0x811647b22c011246!8m2!3d50.9916699!4d4.4924542!16s%2Fm%2F07kgfvk!19sChIJYdBJq5bmw0cRRhIBLLJHFoE?authuser=0&hl=en&rclk=1,,,,,,,,,,
Elewijt,,,,,,https://lh5.googleusercontent.com/p/AF1QipMtMnM1fAj5mYrGGbxoThTEpoQDrAeSBp-cawc4=w408-h272-k-no,,,,,,,,,,,https://www.google.com/maps/place/Elewijt/data=!4m7!3m6!1s0x47c3e6e0a5a6112f:0xa929958721c801b4!8m2!3d50.9618503!4d4.4964542!16s%2Fm%2F0bwg31w!19sChIJLxGmpeDmw0cRtAHIIYeVKak?authuser=0&hl=en&rclk=1,,,,,,,,,,
2000 Antwerp,,,,,Postal code,,,,,,,,,,,,https://www.google.com/maps/place/2000+Antwerp/data=!4m7!3m6!1s0x47c3f70c298b0fa1:0x9ce4910460284213!8m2!3d51.2198771!4d4.4011356!16s%2Fm%2F0bx4vp7!19sChIJoQ-LKQz3w0cRE0IoYASR5Jw?authuser=0&hl=en&rclk=1,,,,,,,,,,
Berendrecht,,,,,,https://lh5.googleusercontent.com/p/AF1QipMlOnf6J_qYXKGBxvYEDpivnnkz3Em6jSo0-I22=w441-h240-k-no,,,,,,,,,,,https://www.google.com/maps/place/Berendrecht/data=!4m7!3m6!1s0x47c40b703d1b1497:0x180d24951d19088e!8m2!3d51.34287!4d4.31409!16zL20vMDkzMjJj!19sChIJlxQbPXALxEcRjggZHZUkDRg?authuser=0&hl=en&rclk=1,,,,,,,,,,
Testing Services Europe B.V.,"Address: Ohmstraat 48, 3335 LT Zwijndrecht, Netherlands ",+31 78 610 4480,2 reviews,5,Chemical industry,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k1T1zFt85MPT9wssKDdLxw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=354.12497&pitch=0&thumbfov=100,carbertesting.nl,,,,,,,,,,https://www.google.com/maps/place/Testing+Services+Europe+B.V./data=!4m7!3m6!1s0x47c42e4e653bf3df:0xc8d3565e99db888b!8m2!3d51.8271588!4d4.621831!16s%2Fg%2F1td09312!19sChIJ3_M7ZU4uxEcRi4jbmV5W08g?authuser=0&hl=en&rclk=1,,info@carbertesting.nl,,,,,,,,
Inspecto.be,"Address: Zandstraat 29, 2070 Zwijndrecht, Belgium ",,,,Industrial design company,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MfwCP_9nK5ILa68w4xSjjQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=163.2668&pitch=0&thumbfov=100,,,,,,,,,,,https://www.google.com/maps/place/Inspecto.be/data=!4m7!3m6!1s0x47c3f5140885d5a9:0x2ab1e23122711194!8m2!3d51.2166489!4d4.3424911!16s%2Fg%2F11tnkz6v6y!19sChIJqdWFCBT1w0cRlBFxIjHisSo?authuser=0&hl=en&rclk=1,,,,,,,,,,
Deurne,,,,,,https://lh5.googleusercontent.com/p/AF1QipPPPOtZv8J1DD95nlHjehd3WyNDRnJFSZqR5Ulz=w408-h544-k-no,,,,,,,,,,,https://www.google.com/maps/place/Deurne/data=!4m7!3m6!1s0x47c3f7803f137e95:0xd36a3a9efa1a8fb2!8m2!3d51.2203758!4d4.4595994!16zL20vMDQxa2pi!19sChIJlX4TP4D3w0cRso8a-p46atM?authuser=0&hl=en&rclk=1,,,,,,,,,,
Wijnegem,,,,,,https://lh5.googleusercontent.com/p/AF1QipPKp9gDrZXueI25-gjIPU9VONBOJhORMHGzf5Yi=w408-h544-k-no,,,,,,,,,,,https://www.google.com/maps/place/Wijnegem/data=!4m7!3m6!1s0x47c3f8576efaf99f:0x7e615605c002de9a!8m2!3d51.2270747!4d4.5194994!16zL20vMDE0aDNn!19sChIJn_n6blf4w0cRmt4CwAVWYX4?authuser=0&hl=en&rclk=1,,,,,,,,,,
Asbestattest - EPC | asby,"Address: Wijngaardberg 36, 2170 Antwerpen, Belgium ",+32 484 73 63 69,15 reviews,4.9,Asbestos testing service,https://lh5.googleusercontent.com/p/AF1QipPewUCdo1RXc8sd4rUxhPsGysjjDnZCot9uTkNH=w408-h284-k-no,asby.be,open 24 hours,open 24 hours,open 24 hours. hide opening hours for the week,open 24 hours,open 24 hours,open 24 hours,open 24 hours,,,https://www.google.com/maps/place/Asbestattest+-+EPC+%7C+asby/data=!4m7!3m6!1s0x47c3f72b43daf02f:0x5e6f1e355886b2b9!8m2!3d51.2442901!4d4.4321386!16s%2Fg%2F11kjyjk9kt!19sChIJL_DaQyv3w0cRubKGWDUeb14?authuser=0&hl=en&rclk=1,,info@asby.be,,,,,,,,
Takeldienst/Depannage Fast assistance & Garage ATS,"Address: IJzerlaan 5, 2060 Antwerpen, Belgium ",+32 3 434 00 00,72 reviews,3.9,Towing service,https://lh5.googleusercontent.com/p/AF1QipPr7s_0i06DXBBHT8W2-wxCH7XTwc7JgWufPJ6J=w663-h240-k-no,fastassistance.be,open 24 hours,open 24 hours,open 24 hours. hide opening hours for the week,open 24 hours,open 24 hours,open 24 hours,open 24 hours,,,https://www.google.com/maps/place/Takeldienst%2FDepannage+Fast+assistance+%26+Garage+ATS/data=!4m7!3m6!1s0x47c3f7d78a0bbdb5:0xbbf9e0f962bb38a7!8m2!3d51.2356723!4d4.4233423!16s%2Fg%2F11fd6cyrxt!19sChIJtb0Litf3w0cRpzi7Yvng-bs?authuser=0&hl=en&rclk=1,,service@atsantwerpen.be,,,,,,,,
Home Control,"Address: Herentalsebaan 286, 2160 Wommelgem, Belgium ",+1 833-764-1539,5 reviews,5,Asbestos testing service,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yAJn5mSqO5i3L593iq4u3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=34.523113&pitch=0&thumbfov=100,asbesthomecontrol.be,open 24 hours,open 24 hours,open 24 hours. hide opening hours for the week,open 24 hours,open 24 hours,open 24 hours,open 24 hours,,,https://www.google.com/maps/place/Home+Control/data=!4m7!3m6!1s0x88510c8484ae87b1:0xe1004bf87c180035!8m2!3d51.1979575!4d4.4946416!16s%2Fg%2F11txds3ynv!19sChIJsYeuhIQMUYgRNQAYfPhLAOE?authuser=0&hl=en&rclk=1,,info@asbesthomecontrol.be,,,,,,,,
Element Materials Technology,"Address: Herentalsebaan 406, 2160 Wommelgem, Belgium ",+32 3 340 43 43,9 reviews,4.4,Laboratory,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pIKxyMdELrez8-Id4nibOQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=359.5316&pitch=0&thumbfov=100,element.com,,,,,,,,,,https://www.google.com/maps/place/Element+Materials+Technology/data=!4m7!3m6!1s0x47c3f75cabf7258f:0xdd0f8a7fadcc2f5b!8m2!3d51.1962076!4d4.5048395!16s%2Fg%2F12hs5w_vf!19sChIJjyX3q1z3w0cRWy_MrX-KD90?authuser=0&hl=en&rclk=1,,,,,,,,,,
Garage CMS,"Address: Lucien Hendrickxlei 32, 2150 Borsbeek, Belgium ",+32 484 83 99 40,49 reviews,4.8,Car Repair Shop,https://lh5.googleusercontent.com/p/AF1QipMdqr_1bAHP2TnJ16O5WtPzdJ6M1ys5sljHZ7NM=w408-h306-k-no,garagecms.be,,,,,,,,,,https://www.google.com/maps/place/Garage+CMS/data=!4m7!3m6!1s0x47c3f9ed200b557b:0x49141a894fe97b2c!8m2!3d51.1903915!4d4.4868593!16s%2Fg%2F11j08bj979!19sChIJe1ULIO35w0cRLHvpT4kaFEk?authuser=0&hl=en&rclk=1,,info@garagecms.be,,,,,,,,
Home Control,"Address: Herentalsebaan 286, 2160 Wommelgem, Belgium ",+1 833-764-1539,5 reviews,5,Asbestos testing service,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yAJn5mSqO5i3L593iq4u3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=34.523113&pitch=0&thumbfov=100,asbesthomecontrol.be,open 24 hours,open 24 hours,open 24 hours. hide opening hours for the week,open 24 hours,open 24 hours,open 24 hours,open 24 hours,,,https://www.google.com/maps/place/Home+Control/data=!4m7!3m6!1s0x88510c8484ae87b1:0xe1004bf87c180035!8m2!3d51.1979575!4d4.4946416!16s%2Fg%2F11txds3ynv!19sChIJsYeuhIQMUYgRNQAYfPhLAOE?authuser=0&hl=en&rclk=1,,info@asbesthomecontrol.be,,,,,,,,
